name,price,sku
Magna-Tiles® 84-Piece Storage Bin Bundle,134.99,21984
Magna-Tiles® Builder 32-Piece Set,49.99,21632
Magna-Tiles® Jungle Animals 25-Piece Set,39.99,21225
Magna-Tiles® Safari Animals 25-Piece Set,39.99,20925
Magna-Tiles® Arctic Animals 25-Piece Set,39.99,21125
Magna-Tiles® Metropolis 110-Piece Set,129.99,20110
Magna-Tiles® Storage Bin &amp; Interactive Play-Mat,24.99,20200
Magna-Tiles® Clear Colors 32-Piece Set,49.99,02132
Magna-Tiles® Clear Colors 100-Piece Set,119.99,04300
Magna-Tiles™ Play Book: Inspiring Creativity,"5.00,14.99",
Magna-Qubix® 85-Piece Set,69.99,19785
Magna-Tiles® Cars 2-Piece Expansion Set,14.99,16022
Magna-Tiles® Clear Colors 48-Piece Deluxe Set,74.50,12148
Magna-Tiles® Glow in the Dark 16-Piece Set,29.99,18816
Magna-Tiles® House 28-Piece Set,49.99,18332
Magna-Tiles® Freestyle 40-Piece Set,74.50,18840
Magna-Tiles® ICE 16-Piece Set,29.99,18716
Magna-Tiles® Stardust 15-Piece Set,29.99,18915
Magna-Qubix® 19-Piece Set,19.99,18019
Magna-Qubix® 29-Piece Set,29.99,18029
Magna-Tiles® Polygons 8-Piece Expansion Set,19.99,15718
Magna-Tiles® Rectangles 8-Piece Expansion Set,24.99,15816
Magna-Tiles® Frost 50-Piece Grand Prix Set,74.99,15850
Magna-Tiles® Clear Colors 37-Piece Set,59.99,14837
Magna-Tiles® Clear Colors 74-Piece Set,99.99,14874
